name,winner,primarytitle
Gregory Peck,False,The Yearling
James Stewart,False,It's a Wonderful Life
Olivia de Havilland,True,To Each His Own
Celia Johnson,False,Brief Encounter
Jennifer Jones,False,Duel in the Sun
Rosalind Russell,False,Sister Kenny
Jane Wyman,False,The Yearling
Ronald Colman,True,A Double Life
John Garfield,False,Body and Soul
Gregory Peck,False,Gentleman's Agreement
William Powell,False,Life with Father
Michael Redgrave,False,Mourning Becomes Electra
Joan Crawford,False,Possessed
Susan Hayward,False,Smash-Up--The Story of a Woman
Dorothy McGuire,False,Gentleman's Agreement
Rosalind Russell,False,Mourning Becomes Electra
Loretta Young,True,The Farmer's Daughter
Lew Ayres,False,Johnny Belinda
Montgomery Clift,False,The Search
Dan Dailey,False,When My Baby Smiles at Me
Laurence Olivier,True,Hamlet
Clifton Webb,False,Sitting Pretty
Ingrid Bergman,False,Joan of Arc
Olivia de Havilland,False,The Snake Pit
Irene Dunne,False,I Remember Mama
Barbara Stanwyck,False,"Sorry, Wrong Number"
Jane Wyman,True,Johnny Belinda
Broderick Crawford,True,All the King's Men
Kirk Douglas,False,Champion
Gregory Peck,False,Twelve O'Clock High
Richard Todd,False,The Hasty Heart
John Wayne,False,Sands of Iwo Jima
Jeanne Crain,False,Pinky
Olivia de Havilland,True,The Heiress
Susan Hayward,False,My Foolish Heart
Deborah Kerr,False,"Edward, My Son"
Loretta Young,False,Come to the Stable
Louis Calhern,False,The Magnificent Yankee
Jos̩ Ferrer,True,Cyrano de Bergerac
William Holden,False,Sunset Blvd.
James Stewart,False,Harvey
Spencer Tracy,False,Father of the Bride
Anne Baxter,False,All about Eve
Bette Davis,False,All about Eve
Judy Holliday,True,Born Yesterday
Eleanor Parker,False,Caged
Gloria Swanson,False,Sunset Blvd.
Humphrey Bogart,True,The African Queen
Marlon Brando,False,A Streetcar Named Desire
Montgomery Clift,False,A Place in the Sun
Arthur Kennedy,False,Bright Victory
Fredric March,False,Death of a Salesman
Katharine Hepburn,False,The African Queen
Vivien Leigh,True,A Streetcar Named Desire
Eleanor Parker,False,Detective Story
Shelley Winters,False,A Place in the Sun
Jane Wyman,False,The Blue Veil
Marlon Brando,False,Viva Zapata!
Gary Cooper,True,High Noon
Kirk Douglas,False,The Bad and the Beautiful
Jos̩ Ferrer,False,Moulin Rouge
Alec Guinness,False,The Lavender Hill Mob
Shirley Booth,True,"Come Back, Little Sheba"
Joan Crawford,False,Sudden Fear
Bette Davis,False,The Star
Julie Harris,False,The Member of the Wedding
Susan Hayward,False,With a Song in My Heart
Marlon Brando,False,Julius Caesar
Richard Burton,False,The Robe
Montgomery Clift,False,From Here to Eternity
William Holden,True,Stalag 17
Burt Lancaster,False,From Here to Eternity
Leslie Caron,False,Lili
Ava Gardner,False,Mogambo
Audrey Hepburn,True,Roman Holiday
Deborah Kerr,False,From Here to Eternity
Maggie McNamara,False,The Moon Is Blue
Humphrey Bogart,False,The Caine Mutiny
Marlon Brando,True,On the Waterfront
Bing Crosby,False,The Country Girl
James Mason,False,A Star Is Born
Dan O'Herlihy,False,Adventures of Robinson Crusoe
Dorothy Dandridge,False,Carmen Jones
Judy Garland,False,A Star Is Born
Audrey Hepburn,False,Sabrina
Grace Kelly,True,The Country Girl
Jane Wyman,False,Magnificent Obsession
Ernest Borgnine,True,Marty
James Cagney,False,Love Me or Leave Me
James Dean,False,East of Eden
Frank Sinatra,False,The Man with the Golden Arm
Spencer Tracy,False,Bad Day at Black Rock
Susan Hayward,False,I'll Cry Tomorrow
Katharine Hepburn,False,Summertime
Jennifer Jones,False,Love Is a Many-Splendored Thing
Anna Magnani,True,The Rose Tattoo
Eleanor Parker,False,Interrupted Melody
Yul Brynner,True,The King and I
James Dean,False,Giant
Kirk Douglas,False,Lust for Life
Rock Hudson,False,Giant
Sir Laurence Olivier,False,Richard III
Carroll Baker,False,Baby Doll
Ingrid Bergman,True,Anastasia
Katharine Hepburn,False,The Rainmaker
Nancy Kelly,False,The Bad Seed
Deborah Kerr,False,The King and I
Marlon Brando,False,Sayonara
Anthony Franciosa,False,A Hatful of Rain
Alec Guinness,True,The Bridge on the River Kwai
Charles Laughton,False,Witness for the Prosecution
Anthony Quinn,False,Wild Is the Wind
Deborah Kerr,False,"Heaven Knows, Mr. Allison"
Anna Magnani,False,Wild Is the Wind
Elizabeth Taylor,False,Raintree County
Lana Turner,False,Peyton Place
Joanne Woodward,True,The Three Faces of Eve
Tony Curtis,False,The Defiant Ones
Paul Newman,False,Cat on a Hot Tin Roof
David Niven,True,Separate Tables
Sidney Poitier,False,The Defiant Ones
Spencer Tracy,False,The Old Man and the Sea
Susan Hayward,True,I Want to Live!
Deborah Kerr,False,Separate Tables
Shirley MacLaine,False,Some Came Running
Rosalind Russell,False,Auntie Mame
Elizabeth Taylor,False,Cat on a Hot Tin Roof
Laurence Harvey,False,Room at the Top
Charlton Heston,True,Ben-Hur
Jack Lemmon,False,Some Like It Hot
Paul Muni,False,The Last Angry Man
James Stewart,False,Anatomy of a Murder
Doris Day,False,Pillow Talk
Audrey Hepburn,False,The Nun's Story
Katharine Hepburn,False,"Suddenly, Last Summer"
Simone Signoret,True,Room at the Top
Elizabeth Taylor,False,"Suddenly, Last Summer"
Trevor Howard,False,Sons and Lovers
Burt Lancaster,True,Elmer Gantry
Jack Lemmon,False,The Apartment
Laurence Olivier,False,The Entertainer
Spencer Tracy,False,Inherit the Wind
Greer Garson,False,Sunrise at Campobello
Deborah Kerr,False,The Sundowners
Shirley MacLaine,False,The Apartment
Melina Mercouri,False,Never on Sunday
Elizabeth Taylor,True,Butterfield 8
Charles Boyer,False,Fanny
Paul Newman,False,The Hustler
Maximilian Schell,True,Judgment at Nuremberg
Spencer Tracy,False,Judgment at Nuremberg
Stuart Whitman,False,The Mark
Audrey Hepburn,False,Breakfast at Tiffany's
Piper Laurie,False,The Hustler
Sophia Loren,True,Two Women
Geraldine Page,False,Summer and Smoke
Natalie Wood,False,Splendor in the Grass
Burt Lancaster,False,Birdman of Alcatraz
Jack Lemmon,False,Days of Wine and Roses
Marcello Mastroianni,False,Divorce--Italian Style
Peter O'Toole,False,Lawrence of Arabia
Gregory Peck,True,To Kill a Mockingbird
Anne Bancroft,True,The Miracle Worker
Bette Davis,False,What Ever Happened to Baby Jane?
Katharine Hepburn,False,Long Day's Journey into Night
