name,winner,primarytitle
Sean Penn,True,Mystic River
Keisha Castle-Hughes,False,Whale Rider
Diane Keaton,False,Something's Gotta Give
Samantha Morton,False,In America
Charlize Theron,True,Monster
Naomi Watts,False,21 Grams
Don Cheadle,False,Hotel Rwanda
Johnny Depp,False,Finding Neverland
Leonardo DiCaprio,False,The Aviator
Clint Eastwood,False,Million Dollar Baby
Jamie Foxx,True,Ray
Annette Bening,False,Being Julia
Catalina Sandino Moreno,False,Maria Full of Grace
Imelda Staunton,False,Vera Drake
Hilary Swank,True,Million Dollar Baby
Kate Winslet,False,Eternal Sunshine of the Spotless Mind
Philip Seymour Hoffman,True,Capote
Terrence Howard,False,Hustle & Flow
Heath Ledger,False,Brokeback Mountain
Joaquin Phoenix,False,Walk the Line
David Strathairn,False,"Good Night, and Good Luck."
Judi Dench,False,Mrs. Henderson Presents
Felicity Huffman,False,Transamerica
Keira Knightley,False,Pride & Prejudice
Charlize Theron,False,North Country
Reese Witherspoon,True,Walk the Line
Leonardo DiCaprio,False,Blood Diamond
Ryan Gosling,False,Half Nelson
Peter O'Toole,False,Venus
Will Smith,False,The Pursuit of Happyness
Forest Whitaker,True,The Last King of Scotland
PenÃ©lope Cruz,False,Volver
Judi Dench,False,Notes on a Scandal
Helen Mirren,True,The Queen
Meryl Streep,False,The Devil Wears Prada
Kate Winslet,False,Little Children
George Clooney,False,Michael Clayton
Daniel Day-Lewis,True,There Will Be Blood
Johnny Depp,False,Sweeney Todd The Demon Barber of Fleet Street
Tommy Lee Jones,False,In the Valley of Elah
Viggo Mortensen,False,Eastern Promises
Cate Blanchett,False,Elizabeth: The Golden Age
Julie Christie,False,Away from Her
Marion Cotillard,True,La Vie en Rose
Laura Linney,False,The Savages
Ellen Page,False,Juno
Richard Jenkins,False,The Visitor
Frank Langella,False,Frost/Nixon
Sean Penn,True,Milk
Brad Pitt,False,The Curious Case of Benjamin Button
Mickey Rourke,False,The Wrestler
Anne Hathaway,False,Rachel Getting Married
Angelina Jolie,False,Changeling
Melissa Leo,False,Frozen River
Meryl Streep,False,Doubt
Kate Winslet,True,The Reader
Jeff Bridges,True,Crazy Heart
George Clooney,False,Up in the Air
Colin Firth,False,A Single Man
Morgan Freeman,False,Invictus
Jeremy Renner,False,The Hurt Locker
Sandra Bullock,True,The Blind Side
Helen Mirren,False,The Last Station
Carey Mulligan,False,An Education
Gabourey Sidibe,False,Precious: Based on the Novel 'Push' by Sapphire
Meryl Streep,False,Julie & Julia
Javier Bardem,False,Biutiful
Jeff Bridges,False,True Grit
Jesse Eisenberg,False,The Social Network
Colin Firth,True,The King's Speech
James Franco,False,127 Hours
Annette Bening,False,The Kids Are All Right
Nicole Kidman,False,Rabbit Hole
Jennifer Lawrence,False,Winter's Bone
Natalie Portman,True,Black Swan
Michelle Williams,False,Blue Valentine
DemiÃ¡n Bichir,False,A Better Life
George Clooney,False,The Descendants
Jean Dujardin,True,The Artist
Gary Oldman,False,Tinker Tailor Soldier Spy
Brad Pitt,False,Moneyball
Glenn Close,False,Albert Nobbs
Viola Davis,False,The Help
Rooney Mara,False,The Girl with the Dragon Tattoo
Meryl Streep,True,The Iron Lady
Michelle Williams,False,My Week with Marilyn
Bradley Cooper,False,Silver Linings Playbook
Daniel Day-Lewis,True,Lincoln
Hugh Jackman,False,Les MisÃ©rables
Joaquin Phoenix,False,The Master
Denzel Washington,False,Flight
Jessica Chastain,False,Zero Dark Thirty
Jennifer Lawrence,True,Silver Linings Playbook
Emmanuelle Riva,False,Amour
QuvenzhanÃ© Wallis,False,Beasts of the Southern Wild
Naomi Watts,False,The Impossible
Christian Bale,False,American Hustle
Bruce Dern,False,Nebraska
Leonardo DiCaprio,False,The Wolf of Wall Street
Chiwetel Ejiofor,False,12 Years a Slave
Matthew McConaughey,True,Dallas Buyers Club
Amy Adams,False,American Hustle
Cate Blanchett,True,Blue Jasmine
Sandra Bullock,False,Gravity
Judi Dench,False,Philomena
Meryl Streep,False,August: Osage County
Steve Carell,False,Foxcatcher
Bradley Cooper,False,American Sniper
Benedict Cumberbatch,False,The Imitation Game
Michael Keaton,False,Birdman or (The Unexpected Virtue of Ignorance)
Eddie Redmayne,True,The Theory of Everything
Marion Cotillard,False,"Two Days, One Night"
Felicity Jones,False,The Theory of Everything
Julianne Moore,True,Still Alice
Rosamund Pike,False,Gone Girl
Reese Witherspoon,False,Wild
Bryan Cranston,False,Trumbo
Matt Damon,False,The Martian
Leonardo DiCaprio,True,The Revenant
Michael Fassbender,False,Steve Jobs
Eddie Redmayne,False,The Danish Girl
Cate Blanchett,False,Carol
Brie Larson,True,Room
Jennifer Lawrence,False,Joy
Charlotte Rampling,False,45 Years
Saoirse Ronan,False,Brooklyn
Casey Affleck,True,Manchester by the Sea
Andrew Garfield,False,Hacksaw Ridge
Ryan Gosling,False,La La Land
Viggo Mortensen,False,Captain Fantastic
Denzel Washington,False,Fences
Isabelle Huppert,False,Elle
Ruth Negga,False,Loving
Natalie Portman,False,Jackie
Emma Stone,True,La La Land
Meryl Streep,False,Florence Foster Jenkins
TimothÃ©e Chalamet,False,Call Me by Your Name
Daniel Day-Lewis,False,Phantom Thread
Daniel Kaluuya,False,Get Out
Gary Oldman,True,Darkest Hour
Denzel Washington,False,"Roman J. Israel, Esq."
Sally Hawkins,False,The Shape of Water
Frances McDormand,True,"Three Billboards outside Ebbing, Missouri"
Margot Robbie,False,"I, Tonya"
Saoirse Ronan,False,Lady Bird
Meryl Streep,False,The Post
Christian Bale,False,Vice
Bradley Cooper,False,A Star Is Born
Willem Dafoe,False,At Eternity's Gate
Rami Malek,True,Bohemian Rhapsody
Viggo Mortensen,False,Green Book
Yalitza Aparicio,False,Roma
Glenn Close,False,The Wife
Olivia Colman,True,The Favourite
Lady Gaga,False,A Star Is Born
Melissa McCarthy,False,Can You Ever Forgive Me?
Antonio Banderas,False,Pain and Glory
Leonardo DiCaprio,False,Once upon a Time...in Hollywood
Adam Driver,False,Marriage Story
Joaquin Phoenix,True,Joker
Jonathan Pryce,False,The Two Popes
Cynthia Erivo,False,Harriet
Scarlett Johansson,False,Marriage Story
Saoirse Ronan,False,Little Women
Charlize Theron,False,Bombshell
RenÃ©e Zellweger,True,Judy
