countryname,yr2012
Heavily indebted poor countries (HIPC),578534050391.484
High income,49148185638834.9
IBRD only,25189109238990.8
IDA & IBRD total,27009287505004
IDA blend,900516869460.178
IDA only,919776287603.022
IDA total,1820182892460.81
Late-demographic dividend,17598957474090.2
Latin America & Caribbean,6150388245718.36
Latin America & Caribbean (excluding high income),5288238994746.05
Latin America & the Caribbean (IDA & IBRD countries),5942534525836.88
Least developed countries: UN classification,870580046892.79
Low & middle income,25826217907666.1
Low income,383756014291.367
Lower middle income,6285421589981.81
Middle East & North Africa,3546548065348.39
Middle East & North Africa (excluding high income),1699939010902.07
Middle East & North Africa (IDA & IBRD countries),1687730610902.07
Middle income,25443025238241.2
North America,18031752018521.6
OECD members,48580091683230.4
Other small states,414204036938.197
Pacific island small states,8186804963.31876
Post-demographic dividend,45736830487196.8
Pre-demographic dividend,1305769636134.07
Small states,494441957225.314
South Asia,2300089514184.29
South Asia (IDA & IBRD),2300089514184.29
Sub-Saharan Africa,1677242194703.11
Sub-Saharan Africa (excluding high income),1676182380343.25
Sub-Saharan Africa (IDA & IBRD countries),1677242194703.11
Upper middle income,19157603648259.3
World,75356012197819.8
,
,
,
,
,
