nquest,ar,af,w,bollette,cn,cd,c,ncomp,acom5,pesofit,y,cly,nfigli,figli_etamedia,nfigli_maschi,singleparent,singlemom,madre_lavora,padre_lavora,padre_eta,madre_eta,macroarea,madre_laurea,padre_laurea,padre_servizi,padre_industria,madre_servizi,madre_industria
913313,202000,40684.109,238684.11,4500,30000,0,30000,3,1,1.9728938,42547.559,8,1,20,0,0,,1,0,61,56,nord,0,0,,,1,0
913316,200,1457.304,1657.304,,17500,0,17500,1,1,4.8221807,18405.342,4,0,,0,1,1,1,,,31,nord,0,,,,1,0
913320,100,1630.9248,1730.9248,1700,14400,0,14400,1,1,3.6719518,22905.979,5,0,,0,1,0,,1,30,,nord,,0,1,0,,
913321,300,2630.6812,2930.6812,2000,12000,0,12000,1,1,4.8221807,18809.643,4,0,,0,1,1,1,,,34,nord,0,,,,1,0
913323,160500,4701.042,165201.05,1800,13200,0,13200,1,1,3.2902577,20817.23,4,0,,0,1,1,1,,,44,nord,0,,,,1,0
913324,300,7512.041,7812.041,1700,14400,0,14400,1,1,3.9542634,16027.534,3,0,,0,1,1,1,,,28,nord,1,,,,1,0
913325,500,7171.0093,7671.0093,2000,12720,0,12720,1,1,1.7630857,18026.283,4,0,,0,1,1,1,,,54,nord,0,,,,1,0
913346,829000,10000,779000,1600,56171.645,2000,58171.645,4,2,1.672502,92970.742,10,2,21.5,1,0,,1,1,54,52,nord,0,0,1,0,1,0
913363,1500,0,1500,,17500,0,17500,4,4,.85136294,18500,4,2,13,1,0,,1,0,49,41,nord,0,0,,,1,0
913396,30000,12000,42000,,17160,0,17160,1,4,1.5849457,20043.982,4,0,,0,1,0,,1,45,,nord,,0,1,0,,
913403,66000,7500,73500,2500,10800,399,11199,1,4,2.0512507,22827.49,5,0,,0,1,1,1,,,30,nord,1,,,,1,0
913404,0,0,0,,5800,0,5800,1,4,2.3228865,9000,1,0,,0,1,0,,1,33,,nord,,0,1,0,,
913408,200,1000,1200,1200,9669.5996,0,9669.5996,1,4,2.5014775,14273.266,2,0,,0,1,1,1,,,32,nord,0,,,,1,0
913412,50,9421.3281,9471.3281,800,10200,0,10200,1,4,1.5849457,26634.531,6,0,,0,1,0,,1,44,,nord,,0,1,0,,
913414,200,11000,11200,0,9600,0,9600,1,4,.91459018,23840.318,5,0,,0,1,1,1,,,60,nord,0,,,,1,0
913415,100,0,100,800,3642.3201,0,3642.3201,1,4,1.5849457,14342.32,2,0,,0,1,0,,1,46,,nord,,0,0,1,,
913430,202000,327.91476,197327.92,2300,15600,0,15600,3,2,2.1723921,52001.203,9,1,21,1,0,,1,1,54,51,nord,0,1,0,1,1,0
913447,440500,59000,499500,,30350,0,30350,4,2,4.4906602,37278.285,8,2,8.5,0,0,,1,1,41,40,nord,0,0,1,0,1,0
913451,0,1377.1976,1377.1976,1100,10800,0,10800,4,2,4.4076915,17005.047,3,2,3.5,1,0,,0,1,45,36,nord,0,0,0,1,,
